GeneSymbol,Description,NormalizedCounts m01 ,NormalizedCounts m02,NormalizedCounts m03,NormalizedCounts m04,NormalizedCounts m05,NormalizedCounts m06,NormalizedCounts m07,NormalizedCounts m08,NormalizedCounts m09,NormalizedCounts m10,NormalizedCounts v01,NormalizedCounts v02,NormalizedCounts v03,NormalizedCounts v04,NormalizedCounts v05,NormalizedCounts v06,NormalizedCounts v07,NormalizedCounts v08,NormalizedCounts v09,NormalizedCounts v10
FAM71E1,family with sequence similarity 71 member E1,47.16,65.47,56.71,52.61,69.48,65.80,68.67,58.39,74.92,85.31,48.99,62.25,54.62,59.41,62.04,63.78,51.42,65.77,65.43,53.75
FAM71F1,family with sequence similarity 71 member F1,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FAM71F2,family with sequence similarity 71 member F2,17.68,34.34,22.51,24.12,11.46,21.93,15.53,16.35,16.88,16.20,15.47,24.21,42.33,8.19,12.96,12.76,13.53,22.23,13.09,50.28
FAM72A,family with sequence similarity 72 member A,3.93,6.44,1.80,5.48,2.15,7.98,12.26,0.00,3.17,6.48,2.58,1.73,2.73,1.02,1.85,4.64,7.58,1.85,1.19,5.20
FAM72B,family with sequence similarity 72 member B,7.86,4.29,4.50,1.10,6.45,8.97,22.89,11.68,32.71,22.68,4.30,3.46,5.46,8.19,3.70,19.71,14.07,4.63,10.71,5.20
FAM72C,family with sequence similarity 72 member C,1.96,2.15,3.60,3.29,0.00,1.99,4.90,0.00,2.11,6.48,0.86,3.46,0.00,0.00,1.85,1.16,1.62,0.00,5.95,1.73
FAM72D,family with sequence similarity 72 member D,0.00,2.15,6.30,1.10,0.72,1.99,3.27,4.67,6.33,1.08,0.00,2.59,4.10,7.17,0.00,9.28,4.33,0.93,1.19,1.73
FAM73A,NA,383.16,331.62,435.71,367.21,344.51,326.02,233.79,333.99,340.84,313.17,352.38,389.92,469.75,289.88,299.10,371.06,323.68,309.38,302.19,419.62
FAM73B,NA,684.77,775.94,647.26,663.17,737.73,707.87,663.78,801.11,673.24,634.98,689.29,733.16,618.59,807.16,884.33,630.80,623.54,754.00,644.83,584.34
FAM76A,family with sequence similarity 76 member A,219.09,269.38,220.56,259.79,214.87,230.31,213.36,267.43,182.56,220.30,275.89,247.27,196.64,253.01,253.72,245.83,228.41,230.65,210.58,209.81
FAM76B,family with sequence similarity 76 member B,345.82,484.02,488.82,489.98,395.36,359.92,352.32,423.91,399.94,434.12,429.74,589.64,543.49,354.41,426.89,476.58,451.96,389.97,410.45,521.92
FAM78A,family with sequence similarity 78 member A,1766.46,1584.07,1845.46,1593.79,2043.43,2028.89,2134.38,2029.63,2041.89,1820.70,1783.40,1410.98,1792.97,2032.25,2077.94,1723.10,1927.45,2003.57,2135.54,1813.72
FAM78B,family with sequence similarity 78 member B,3.93,5.37,6.30,6.58,5.01,3.99,8.99,1.17,5.28,6.48,2.58,2.59,1.37,9.22,4.63,2.32,5.41,2.78,13.09,5.20
FAM81A,family with sequence similarity 81 member A,0.00,0.00,0.00,0.00,1.43,0.00,0.00,1.17,0.00,1.08,0.00,0.00,0.00,1.02,0.93,0.00,1.62,0.00,1.19,1.73
FAM81B,family with sequence similarity 81 member B,12.77,4.29,19.80,10.96,6.45,6.98,4.09,3.50,11.61,19.44,14.61,11.24,23.21,14.34,5.56,5.80,3.79,5.56,5.95,27.74
FAM83A,family with sequence similarity 83 member A,2.95,1.07,9.00,2.19,6.45,1.99,4.09,5.84,1.06,7.56,2.58,12.97,12.29,8.19,9.26,3.48,2.71,11.12,3.57,20.81
FAM83B,family with sequence similarity 83 member B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00
FAM83C,family with sequence similarity 83 member C,0.00,6.44,2.70,2.19,0.00,2.99,0.00,0.00,3.17,2.16,0.00,1.73,8.19,0.00,0.93,2.32,0.00,0.00,0.00,1.73
FAM83D,family with sequence similarity 83 member D,54.04,80.49,43.21,41.65,40.11,54.83,86.65,44.38,62.26,58.31,42.11,53.60,36.87,54.29,47.23,44.06,43.30,34.27,53.54,74.56
FAM83E,family with sequence similarity 83 member E,6.88,3.22,2.70,0.00,1.43,2.99,5.72,1.17,4.22,6.48,0.86,8.65,4.10,7.17,7.41,4.64,0.54,2.78,0.00,6.94
FAM83F,family with sequence similarity 83 member F,19.65,53.66,40.51,23.02,13.61,24.92,16.35,14.01,11.61,18.36,21.49,54.47,42.33,11.27,4.63,17.39,11.37,7.41,4.76,15.61
FAM83G,family with sequence similarity 83 member G,287.86,282.26,279.97,306.92,383.90,295.11,273.03,234.73,269.09,239.74,280.19,260.24,269.01,366.71,367.62,252.78,230.04,198.23,242.70,202.87
FAM83H,family with sequence similarity 83 member H,157.19,144.88,134.13,120.58,134.65,130.61,120.98,145.97,109.75,141.47,136.66,108.94,133.82,176.18,112.05,103.20,107.17,139.87,116.59,154.32
FAM84A,family with sequence similarity 84 member A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,3.47
FAM84B,family with sequence similarity 84 member B,576.70,602.07,527.53,584.24,517.12,599.20,317.17,703.01,527.62,496.75,617.96,563.70,465.65,716.00,556.53,636.60,417.32,772.53,631.74,584.34
FAM86A,NA,208.28,189.96,176.44,187.44,201.26,176.47,264.04,209.04,212.10,220.30,239.79,211.82,191.18,187.45,236.13,175.09,211.64,239.91,205.82,197.67
FAM86B1,family with sequence similarity 86 member B1,25.54,9.66,14.40,19.73,6.45,14.95,8.17,9.34,16.88,22.68,18.05,22.48,40.97,17.41,6.48,11.60,21.65,20.38,39.26,43.35
FAM86C1,family with sequence similarity 86 member C1,77.61,63.32,78.32,28.50,71.62,79.76,68.67,73.57,65.43,77.75,83.37,90.78,86.03,54.29,76.86,71.89,72.53,64.84,71.38,79.76
FAM89A,family with sequence similarity 89 member A,98.25,69.76,65.72,80.02,63.03,53.84,50.68,78.24,63.31,64.79,92.82,104.61,75.11,87.07,68.52,73.05,55.75,71.32,59.49,45.08
FAM89B,family with sequence similarity 89 member B,357.61,353.09,277.27,340.90,463.41,424.72,488.84,367.86,344.01,412.52,322.30,325.08,275.84,475.28,527.82,407.00,353.45,368.67,350.97,282.63
FAM8A1,family with sequence similarity 8 member A1,502.04,595.63,724.68,637.95,536.46,486.53,435.71,441.43,530.79,422.24,530.29,598.28,711.45,499.87,646.35,587.89,555.34,539.10,585.34,596.48
FAM90A1,family with sequence similarity 90 member A1,4.91,8.59,9.00,6.58,8.59,7.98,15.53,3.50,9.50,14.04,6.02,6.05,8.19,15.36,2.78,17.39,9.74,6.48,4.76,19.07
FAM91A1,family with sequence similarity 91 member A1,813.47,877.89,794.00,777.16,787.86,775.66,787.21,703.01,850.53,728.93,849.16,917.31,849.37,728.29,800.99,780.38,890.38,717.88,842.32,710.92
FAM92A1,NA,182.74,106.25,237.66,241.15,182.64,188.43,144.69,155.32,201.55,131.75,201.98,131.41,288.13,175.16,229.65,200.60,200.27,170.44,202.25,185.53
FAM92B,family with sequence similarity 92 member B,0.00,3.22,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FAM96A,family with sequence similarity 96 member A,195.51,194.25,151.24,195.11,228.48,199.40,273.85,242.90,182.56,234.34,185.65,204.04,132.46,212.03,258.35,249.30,270.09,184.33,208.20,130.05
FAM96B,family with sequence similarity 96 member B,226.95,297.28,208.85,241.15,268.59,295.11,328.62,268.59,264.87,303.45,223.46,291.36,161.13,286.81,282.43,246.99,260.89,195.45,241.51,197.67
FAM98A,family with sequence similarity 98 member A,211.23,185.67,261.07,266.36,234.93,215.35,240.33,212.54,262.76,286.17,226.90,171.19,198.00,197.69,211.13,226.11,274.42,238.06,247.46,284.37
FAM98B,family with sequence similarity 98 member B,438.18,361.67,602.25,445.03,358.12,334.99,281.21,374.86,397.83,325.05,371.29,405.48,778.36,287.83,318.54,463.82,356.69,356.62,372.38,697.05
FAM98C,family with sequence similarity 98 member C,190.60,225.38,170.14,279.52,233.49,189.43,193.74,209.04,183.61,186.82,183.93,201.45,169.33,322.66,215.76,163.50,172.12,197.30,166.56,168.19
FAM9B,family with sequence similarity 9 member B,0.00,0.00,0.00,0.00,0.00,0.00,6.54,0.00,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,5.95,0.00,0.00,0.00
FAM9C,family with sequence similarity 9 member C,1.96,4.29,0.90,2.19,1.43,0.00,0.00,0.00,0.00,0.00,0.00,4.32,1.37,4.10,0.00,5.80,3.79,0.00,0.00,1.73
FAN1,FANCD2 and FANCI associated nuclease 1,1018.81,1164.44,838.11,1046.82,757.06,659.02,685.85,1323.12,694.35,847.71,1166.30,1108.38,965.44,1166.70,891.74,732.84,778.34,1250.50,744.76,1026.50
FANCA,Fanconi anemia complementation group A,1055.16,960.53,988.45,743.18,1034.96,842.46,943.35,1146.78,990.87,1024.82,1022.77,869.76,954.52,952.62,1078.79,817.49,879.56,1124.52,1049.33,1253.65
FANCB,Fanconi anemia complementation group B,62.88,69.76,99.02,95.36,53.00,60.82,42.51,47.88,49.60,41.04,71.34,83.00,91.49,39.95,46.30,68.41,58.46,35.20,60.68,58.95
FANCC,Fanconi anemia complementation group C,81.54,122.35,135.93,137.02,120.33,79.76,88.29,75.91,85.47,105.83,90.24,131.41,155.67,106.53,87.97,109.00,80.65,101.89,77.33,142.18
FANCD2,Fanconi anemia complementation group D2,456.84,506.56,449.21,571.09,549.35,471.58,655.60,463.62,586.71,557.22,480.44,528.25,506.62,401.53,457.44,634.28,606.76,530.77,490.16,436.96
FANCD2OS,FANCD2 opposite strand,14.74,26.83,20.71,30.69,22.20,21.93,30.25,25.69,27.44,32.40,28.36,30.26,35.50,13.32,35.19,25.51,26.52,25.94,24.98,20.81
FANCE,Fanconi anemia complementation group E,194.53,163.13,134.13,139.21,194.10,174.47,164.31,156.49,179.39,149.02,189.94,202.31,151.58,190.52,212.05,141.47,111.50,134.31,190.35,95.37
FANCF,Fanconi anemia complementation group F,299.65,240.40,377.19,270.75,303.68,283.15,349.05,345.67,284.92,313.17,307.69,287.04,275.84,298.08,366.70,265.54,330.17,335.32,283.15,230.62
FANCG,Fanconi anemia complementation group G,162.11,188.89,153.94,165.52,201.26,209.37,255.86,189.18,259.59,265.65,165.88,184.15,166.60,156.72,216.68,226.11,193.77,180.63,202.25,182.07
FANCI,Fanconi anemia complementation group I,547.23,575.24,576.14,607.26,694.75,774.67,927.00,606.09,902.23,988.10,532.01,536.90,553.05,492.70,568.56,758.35,704.73,445.55,651.96,513.25
FANCL,Fanconi anemia complementation group L,124.77,70.83,72.02,95.36,126.06,96.71,165.13,99.26,167.78,120.95,106.57,102.02,83.30,74.78,90.75,98.56,149.93,85.22,140.39,138.72
FANCM,Fanconi anemia complementation group M,283.93,223.23,306.08,270.75,223.47,268.19,214.99,217.21,268.03,231.10,295.66,227.38,385.08,227.40,230.57,253.94,252.77,208.42,242.70,284.37
FAP,fibroblast activation protein alpha,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00
FAR1,fatty acyl-CoA reductase 1,644.49,482.95,650.86,576.57,536.46,582.25,570.59,538.36,623.65,591.78,560.37,513.56,607.67,509.09,492.63,567.02,657.64,553.00,681.71,658.90
FAR2,fatty acyl-CoA reductase 2,253.47,189.96,316.88,210.46,169.75,262.21,181.48,200.86,187.83,245.14,249.25,228.25,357.77,171.06,206.50,251.62,217.05,226.94,183.22,374.53
FARP1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",1083.65,1080.73,962.34,1116.97,1083.67,1041.86,999.75,965.77,1053.13,1038.86,1092.39,1092.82,1136.14,981.30,1023.23,1001.85,982.94,1095.81,1115.95,1310.87
FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",192.56,178.15,223.26,211.56,225.61,168.49,214.99,192.69,196.28,129.59,155.56,176.37,240.34,184.38,213.91,163.50,202.98,204.71,208.20,136.98
FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",306.53,306.94,294.37,289.38,258.56,282.15,268.94,338.66,312.35,317.49,303.39,305.19,309.98,335.98,297.25,253.94,264.14,328.83,322.41,388.41
FARSA,phenylalanyl-tRNA synthetase alpha subunit,548.21,501.19,476.22,447.23,499.22,500.49,651.51,500.99,574.05,585.30,492.48,489.35,423.32,550.06,539.86,468.46,476.31,523.36,523.47,428.29
FARSB,phenylalanyl-tRNA synthetase beta subunit,393.96,385.28,469.02,389.13,366.71,338.98,332.71,362.02,365.11,464.35,345.51,377.82,434.24,395.39,349.10,382.65,388.09,389.04,362.86,540.99
FAS,Fas cell surface death receptor,463.72,417.48,261.07,696.05,646.76,572.28,733.26,505.66,736.56,481.63,395.36,334.59,198.00,414.85,442.63,500.93,740.99,399.23,555.60,348.52
FASLG,Fas ligand,49.12,15.03,22.51,47.13,65.89,58.82,62.94,35.03,92.86,16.20,32.66,9.51,17.75,30.73,78.71,54.50,53.04,48.17,71.38,20.81
FASN,fatty acid synthase,1836.21,2079.89,1782.45,1334.00,1162.45,1586.22,1997.87,1216.85,1461.51,1589.60,1749.02,2807.26,1974.58,1757.73,1122.31,1290.58,1240.04,1311.63,1302.74,1258.85
FASTK,Fas activated serine/threonine kinase,773.19,759.84,640.96,747.57,732.00,758.72,784.76,844.32,761.89,883.35,718.52,809.24,641.81,906.52,862.11,626.16,651.69,887.39,791.16,681.44
FASTKD1,FAST kinase domains 1,190.60,179.23,292.57,228.00,220.60,259.22,264.86,255.75,214.21,237.58,201.12,191.93,271.74,161.84,219.46,272.50,300.94,238.98,220.10,202.87
FASTKD2,FAST kinase domains 2,556.07,475.43,606.75,491.07,396.08,480.55,521.54,583.90,483.30,548.58,594.75,610.39,598.11,451.72,461.15,505.57,547.76,539.10,490.16,625.96
FASTKD3,FAST kinase domains 3,154.25,139.52,136.83,152.36,124.63,161.51,166.76,140.14,148.79,133.91,148.69,126.23,113.34,96.29,149.09,133.35,176.99,108.38,127.30,168.19
FASTKD5,FAST kinase domains 5,460.77,525.88,502.33,407.76,420.43,434.69,430.80,440.26,444.26,496.75,440.91,536.90,484.77,411.78,400.96,393.09,449.79,467.78,433.06,532.32
FAT1,FAT atypical cadherin 1,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FAT2,FAT atypical cadherin 2,52.07,27.90,63.02,21.92,44.41,48.85,44.14,37.37,42.21,48.60,56.73,49.28,53.26,18.44,37.04,40.58,48.17,38.90,44.02,104.04
FAT4,FAT atypical cadherin 4,0.00,2.15,0.00,2.19,0.72,0.00,0.00,0.00,0.00,1.08,0.00,0.86,0.00,0.00,1.85,2.32,0.00,1.85,0.00,0.00
FAU,"FAU, ubiquitin like and ribosomal protein S30 fusion",2846.18,3730.50,2977.95,3461.61,2920.10,3169.46,3156.21,3294.36,3068.65,3653.27,2929.93,3806.71,2889.50,4080.89,3656.77,2962.66,2772.91,3401.35,3068.28,1919.49
FAXC,failed axon connections homolog,0.98,0.00,0.00,1.10,0.00,0.00,0.82,0.00,1.06,0.00,0.86,1.73,0.00,1.02,0.00,0.00,1.08,0.00,0.00,0.00
FAXDC2,fatty acid hydroxylase domain containing 2,97.26,75.13,105.33,63.58,90.96,93.72,97.28,94.59,110.80,90.71,104.86,76.08,122.90,88.09,60.19,91.60,114.21,132.46,99.94,204.61
FBL,fibrillarin,923.51,1006.68,818.30,801.28,898.16,901.29,934.35,1090.72,891.68,1086.37,929.95,1063.42,628.15,980.27,1034.34,819.80,804.86,901.28,918.46,721.32
FBLIM1,filamin binding LIM protein 1,17.68,23.61,22.51,21.92,17.19,14.95,16.35,21.02,18.99,19.44,18.05,11.24,24.58,32.78,18.52,13.91,16.24,20.38,17.85,24.28
FBLN1,fibulin 1,0.00,1.07,1.80,2.19,0.00,0.00,2.45,0.00,0.00,0.00,0.86,0.00,1.37,0.00,0.00,0.00,0.00,0.93,0.00,0.00
FBLN2,fibulin 2,2.95,1.07,0.00,0.00,1.43,1.99,0.00,0.00,1.06,0.00,0.00,1.73,4.10,2.05,3.70,3.48,1.08,3.71,0.00,1.73
FBLN5,fibulin 5,51.09,34.34,80.12,51.52,40.83,43.87,45.78,37.37,43.26,28.08,73.91,46.69,62.82,59.41,64.82,51.02,58.46,62.99,78.52,26.01
FBLN7,fibulin 7,267.23,296.21,234.96,309.11,217.74,263.21,308.18,248.74,242.71,296.97,215.73,275.80,215.76,371.83,244.46,212.20,277.13,289.93,246.27,279.17
FBN1,fibrillin 1,15.72,23.61,22.51,13.15,10.74,9.97,32.70,7.01,13.72,15.12,16.33,10.37,15.02,15.36,4.63,11.60,18.94,15.75,32.12,15.61
FBN2,fibrillin 2,0.00,0.00,0.00,0.00,0.72,0.00,0.00,1.17,0.00,0.00,0.00,0.86,1.37,0.00,0.93,0.00,0.00,0.00,1.19,3.47
FBP1,fructose-bisphosphatase 1,51.09,26.83,28.81,18.63,23.64,33.90,23.71,19.85,17.94,23.76,48.13,34.58,31.41,15.36,21.30,28.99,28.15,38.90,27.36,19.07
FBRSL1,fibrosin like 1,536.42,521.58,636.46,602.88,630.29,576.26,423.44,537.19,544.51,573.42,490.76,554.19,755.15,865.55,626.90,602.97,414.07,648.41,555.60,799.35
FBXL12,F-box and leucine rich repeat protein 12,208.28,260.79,200.75,167.71,204.84,207.38,209.27,214.88,213.16,252.69,218.31,217.87,167.96,239.69,184.27,202.92,202.98,215.83,217.72,166.46
FBXL13,F-box and leucine rich repeat protein 13,33.40,28.98,38.71,49.33,16.47,13.96,19.62,26.86,28.49,25.92,36.96,20.75,55.99,32.78,24.08,35.95,22.73,47.24,22.60,64.16
FBXL14,F-box and leucine rich repeat protein 14,395.93,358.45,351.99,356.25,366.71,415.75,316.36,380.70,353.51,313.17,427.16,428.83,341.39,515.23,448.18,339.75,296.07,407.57,397.37,296.51
FBXL16,F-box and leucine rich repeat protein 16,220.07,246.84,243.06,308.02,299.39,254.23,168.40,225.39,225.82,158.74,192.52,261.97,221.22,358.51,336.14,304.96,167.79,242.69,230.80,263.56
FBXL18,F-box and leucine rich repeat protein 18,138.53,104.10,95.42,114.00,128.92,101.69,121.80,127.29,106.58,90.71,105.71,84.73,90.13,128.04,133.34,104.36,123.41,105.60,108.26,107.51
FBXL19,F-box and leucine rich repeat protein 19,334.04,353.09,293.47,303.63,336.63,375.87,407.09,349.17,365.11,399.56,263.00,312.98,271.74,362.61,363.92,317.72,306.36,314.01,383.09,312.11
FBXL2,F-box and leucine rich repeat protein 2,59.93,41.86,91.82,51.52,51.57,42.87,48.23,57.22,40.10,47.52,41.25,36.31,98.32,57.36,60.19,67.25,77.40,81.51,77.33,121.38
FBXL20,F-box and leucine rich repeat protein 20,946.11,970.19,1088.37,1036.95,819.38,868.39,820.73,868.84,829.42,856.35,903.30,981.29,1263.13,1015.10,941.74,1076.07,936.93,1044.86,872.06,1217.24
FBXL22,F-box and leucine rich repeat protein 22,43.23,31.12,36.91,19.73,27.22,24.92,29.43,36.20,25.33,46.44,26.64,33.72,39.60,32.78,27.78,37.11,21.65,44.46,42.83,53.75
FBXL3,F-box and leucine rich repeat protein 3,926.46,927.26,1140.59,1041.33,1077.22,996.00,900.84,1008.98,953.94,922.23,1015.03,1206.94,1096.54,1017.15,1220.47,1091.14,1004.05,984.65,977.95,983.15
FBXL4,F-box and leucine rich repeat protein 4,772.21,727.64,1085.67,894.45,772.82,733.79,663.78,813.96,796.71,613.38,899.01,737.48,1085.61,741.61,743.58,838.36,857.91,931.85,740.00,1062.91
FBXL5,F-box and leucine rich repeat protein 5,1080.70,1100.05,1284.62,1290.16,956.89,958.11,933.54,1208.67,1085.84,962.18,1123.33,1121.35,1325.95,1070.41,977.85,1188.54,1103.64,1290.33,1098.11,1146.14
FBXL6,F-box and leucine rich repeat protein 6,133.61,164.20,126.03,166.61,191.95,156.53,208.45,169.33,162.51,155.50,125.48,140.93,172.06,194.62,203.72,187.85,146.68,162.10,158.23,121.38
FBXL8,F-box and leucine rich repeat protein 8,117.89,116.98,54.91,88.79,196.25,175.47,165.94,101.60,108.69,62.63,93.68,129.69,58.72,117.80,192.61,112.48,111.50,130.61,67.81,58.95
FBXO10,F-box protein 10,126.74,193.18,85.52,131.54,188.37,186.44,212.54,154.15,150.90,145.79,126.34,123.63,102.42,160.82,206.50,185.53,140.73,173.22,142.77,159.52
FBXO11,F-box protein 11,1215.30,987.36,1435.86,1119.16,964.77,1010.96,886.94,1025.33,1136.50,1007.54,1183.49,1059.97,1455.68,898.33,879.70,1157.24,1128.54,978.17,1045.76,1463.46
FBXO15,F-box protein 15,15.72,15.03,16.20,25.21,4.30,10.97,9.81,18.68,10.55,15.12,14.61,26.80,17.75,14.34,11.11,17.39,16.78,25.94,10.71,19.07
FBXO17,F-box protein 17,0.98,0.00,0.00,2.19,1.43,1.99,2.45,0.00,0.00,1.08,0.00,1.73,0.00,1.02,0.93,0.00,1.08,0.93,3.57,0.00
FBXO18,"F-box protein, helicase, 18",1283.09,1323.28,1272.92,1399.77,1121.63,1381.84,1338.18,1214.51,1271.57,1251.59,1268.58,1231.15,1219.44,1413.56,1169.54,1230.29,1239.50,1156.94,1321.77,1206.83
FBXO2,F-box protein 2,90.39,91.22,115.23,160.04,61.60,81.75,63.76,47.88,59.09,101.51,99.70,135.74,94.22,216.13,71.30,74.21,46.01,55.58,51.16,64.16
FBXO21,F-box protein 21,668.07,672.91,868.72,766.20,729.13,721.83,589.39,756.73,688.02,761.32,732.27,794.54,897.17,840.97,782.47,686.46,655.47,836.44,766.18,825.36
FBXO22,F-box protein 22,532.49,408.90,641.86,609.45,529.30,517.44,421.81,504.49,557.17,530.23,561.23,434.02,729.20,410.75,545.41,611.09,601.89,553.92,452.09,572.20
FBXO24,F-box protein 24,29.47,24.68,23.41,18.63,25.78,15.95,13.90,24.52,18.99,9.72,22.35,25.94,21.85,23.56,24.08,23.19,23.82,16.67,22.60,27.74
FBXO25,F-box protein 25,536.42,521.58,630.16,690.57,519.99,419.74,429.98,462.45,517.07,492.43,477.01,550.73,570.80,595.13,468.56,524.12,485.52,494.64,512.77,648.50
FBXO27,F-box protein 27,3.93,4.29,5.40,9.87,11.46,4.98,3.27,1.17,0.00,4.32,0.86,4.32,5.46,2.05,10.19,3.48,0.00,5.56,4.76,1.73
FBXO28,F-box protein 28,611.09,619.25,765.19,739.90,623.84,617.14,567.32,579.23,603.60,627.42,666.95,666.58,697.80,574.64,588.94,565.86,648.44,539.10,569.87,703.99
FBXO3,F-box protein 3,421.47,471.14,443.81,506.42,455.53,472.58,461.86,436.76,436.87,402.80,457.24,431.42,483.40,466.07,468.56,529.92,510.41,459.44,442.57,520.19
FBXO30,F-box protein 30,236.77,227.52,252.06,240.05,302.97,326.02,300.82,297.79,353.51,278.61,279.33,228.25,307.25,228.42,233.35,317.72,344.79,282.52,356.91,305.18
FBXO31,F-box protein 31,735.86,646.08,601.35,688.38,697.62,741.77,691.57,759.07,708.07,658.73,694.45,657.07,643.17,824.58,667.65,622.68,633.28,772.53,775.69,684.91
FBXO32,F-box protein 32,669.05,584.90,640.06,747.57,683.29,689.92,608.19,666.81,681.69,596.10,707.34,671.77,647.27,674.00,706.54,698.05,681.45,647.48,668.62,717.86
FBXO33,F-box protein 33,624.84,651.44,726.48,652.20,507.81,568.29,618.82,534.85,552.95,715.97,643.74,713.27,675.95,590.01,571.34,597.17,651.14,572.45,530.61,710.92
FBXO34,F-box protein 34,697.54,796.33,733.68,829.78,853.76,890.32,722.63,853.66,896.96,721.37,755.47,743.53,688.24,786.68,850.99,838.36,707.98,787.35,770.94,638.10
FBXO36,F-box protein 36,31.44,20.39,25.21,23.02,8.59,21.93,22.07,21.02,24.27,17.28,21.49,34.58,30.04,28.68,37.97,24.35,29.23,36.13,14.28,32.95
FBXO38,F-box protein 38,972.63,792.03,1056.86,917.47,1005.60,892.31,969.51,1011.31,1054.19,970.82,1044.26,824.80,1164.81,967.98,1016.75,1040.12,1165.35,995.77,1019.59,1137.47
FBXO39,F-box protein 39,5.89,10.73,24.31,2.19,0.72,6.98,9.81,5.84,5.28,3.24,3.44,4.32,30.04,2.05,7.41,8.12,3.79,5.56,3.57,3.47
FBXO4,F-box protein 4,102.18,133.08,126.93,141.40,131.07,135.59,155.32,127.29,134.02,151.18,153.85,132.28,103.78,119.85,137.05,122.91,125.57,150.06,111.83,100.57
FBXO40,F-box protein 40,50.11,48.29,64.82,19.73,70.91,44.86,77.66,51.38,43.26,86.39,61.02,32.85,75.11,28.68,48.15,81.17,100.68,80.59,57.11,109.24
FBXO41,F-box protein 41,348.77,325.18,346.59,285.00,305.83,361.91,399.74,346.84,313.41,366.08,307.69,345.83,378.26,367.73,341.69,291.05,325.84,357.55,355.73,464.70
FBXO42,F-box protein 42,783.02,891.84,855.21,794.70,720.54,680.95,649.88,777.75,620.48,699.77,760.63,789.35,837.08,821.50,750.99,710.81,684.70,751.22,638.88,851.37
FBXO43,F-box protein 43,2.95,2.15,7.20,4.38,5.73,2.99,11.44,3.50,14.77,19.44,3.44,2.59,5.46,1.02,1.85,6.96,18.40,3.71,11.90,5.20
FBXO44,F-box protein 44,557.05,591.34,514.03,679.61,483.46,476.56,438.16,536.02,428.43,481.63,545.76,569.75,529.83,812.29,628.75,496.29,404.33,565.04,537.75,430.02
FBXO45,F-box protein 45,187.65,228.59,216.05,301.44,309.41,275.17,354.78,223.05,270.14,263.49,262.14,181.56,193.91,239.69,263.91,266.70,390.25,212.12,284.34,195.94
FBXO46,F-box protein 46,416.56,363.82,369.99,316.78,333.05,325.02,372.76,326.98,368.28,367.16,343.79,338.91,345.48,440.46,362.07,376.86,279.29,334.39,358.10,398.81
FBXO47,F-box protein 47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,4.63,0.00,0.00,0.00,4.76,1.73
FBXO48,F-box protein 48,56.98,59.03,63.02,48.23,70.91,42.87,59.67,50.22,54.87,39.96,52.43,50.15,99.69,38.92,82.41,69.57,48.17,47.24,48.78,69.36
FBXO5,F-box protein 5,153.26,155.62,129.63,106.33,179.06,145.56,206.00,145.97,165.67,173.86,126.34,146.11,106.51,104.48,143.53,164.66,158.59,92.63,157.04,119.64
FBXO6,F-box protein 6,151.30,108.39,81.02,83.31,76.64,73.78,101.36,99.26,115.02,84.23,87.67,69.17,45.06,85.02,37.04,59.14,56.29,63.91,92.80,32.95
FBXO7,F-box protein 7,1124.91,1283.57,1185.60,1110.39,1206.14,1153.53,1334.09,1051.02,1223.03,1210.56,1131.06,1200.03,1018.70,1111.39,1196.39,1163.03,1303.37,1112.48,1209.94,899.92
FBXO8,F-box protein 8,219.09,267.23,285.37,277.32,279.33,245.26,264.04,272.10,281.75,223.54,281.05,293.09,279.94,307.30,320.40,301.48,254.94,263.99,262.93,277.43
FBXO9,F-box protein 9,564.91,541.97,672.47,564.51,642.47,533.39,747.16,659.81,600.43,732.17,581.00,568.89,669.12,649.42,648.20,625.00,802.70,676.19,691.22,655.43
FBXW10,F-box and WD repeat domain containing 10,0.00,0.00,5.40,3.29,1.43,0.00,0.00,5.84,1.06,2.16,0.86,0.00,5.46,2.05,0.93,3.48,2.17,0.00,0.00,3.47
